Word,Frequency
the,3233
i,2421
you,2156
to,1688
and,1641
a,1491
in,977
me,954
my,831
of,818
it,775
your,683
is,657
on,639
we,588
all,561
for,543
that,543
be,480
with,426
so,423
i'm,399
don't,399
just,393
but,369
this,359
it's,357
know,351
up,336
like,330
no,327
what,318
can,315
do,315
are,312
out,309
not,294
when,291
was,279
from,276
will,269
you're,264
have,258
down,252
now,249
they,243
time,243
never,237
love,234
got,234
go,229
one,225
way,225
get,222
at,216
oh,210
see,204
he,201
say,192
she,189
there,186
want,183
if,180
gonna,174
where,174
am,168
back,168
make,168
day,162
come,159
i'll,156
as,150
some,147
i've,147
could,147
how,147
take,147
away,138
feel,138
her,138
about,138
our,138
there's,135
we're,129
wanna,123
think,123
only,120
need,120
said,117
who,117
here,114
nothing,114
by,114
yeah,111
mind,108
tell,108
can't,107
through,107
that's,105
been,105
